"cname";"bid";"bname";"strt_session";"m_ord";"l_ord";"i_ord";"i_name";"type_id";"type_descr";"graded";"started";"completed";"total";"interact_cnt";"gr_character";"sh_started";"dropping";"plot_name";"percplot";"num_name";"m_ord_plus1";"sum";"number_itemImod";"percent2";"drop_1stitem"
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";1;3;1;"Introduction and Scope of Neuroeconomics";6;"exam";1;424;511;935;40994;"g";0,453475935828877;0,293379353624098;"1 3 1 Introduction and Scope of Neu(g)~";"17.3";131;2;9;8;17,2;1
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";1;4;0;"Do people have Free Will...?";12;"phased peer";1;41;223;264;3534;"g";0,15530303030303;0,0828365233762159;"1 4 0 Do people have Free Will...? (g)";"18.5";140;2;9;9;18,2;0,282352941176471
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;0;0;"A Brief Intro to Neuroanatomy and Neurophysiology";1;"lecture";20;153;524;677;1624;"";0,225997045790251;0,212425478506432;"2 0 0 A Brief Intro to Neuroanatomy~";"19.8";200;3;7;1;19,5;0,724064171122995
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;0;1;"Methods of Cognitive Neuroscience. Lesions, Brain Stimulation";1;"lecture";20;71;458;529;1335;"";0,13421550094518;0,16598682146219;"2 0 1 Methods of Cognitive Neurosci~";"21";201;3;7;2;20,8;0,565775401069519
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;1;0;"Single-cell Recordings, EEG & MEG";1;"lecture";20;54;406;460;1128;"";0,117391304347826;0,144336366488861;"2 1 0 Single-cell Recordings, EEG & MEG ";"22.2";210;3;7;3;22,1;0,491978609625668
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;1;1;"Functional Magnetic Resonance Imaging (fMRI)";1;"lecture";20;65;349;414;974;"";0,157004830917874;0,129902729839975;"2 1 1 Functional Magnetic Resonance~";"23.5";211;3;7;4;23,4;0,442780748663102
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;2;0;"Neuroanatomy and Neurophysiology";6;"exam";1;151;282;433;23135;"g";0,348729792147806;0,135864449325384;"2 2 0 Neuroanatomy and Neurophysiology (g)";"24.7";220;3;7;5;24,7;0,463101604278075
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;2;1;"Readings and Resources";3;"supplement";20;0;283;283;437;"";0;0,0887982428616254;"2 2 1 Readings and Resources ";"25.9";221;3;7;6;26;0,302673796791444
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;3;0;"Survey";19;"ungraded widget";20;91;156;247;521;"";0,368421052631579;0,0775023533103232;"2 3 0 Survey ";"27.2";230;3;7;7;27,3;0,264171122994652
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;0;0;"Perceptual Decisions";1;"lecture";20;55;403;458;1094;"";0,120087336244541;0,143708817069344;"3 0 0 Perceptual Decisions ";"28.4";300;4;10;1;28,2;0,489839572192513
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;0;1;"Introduction to Diffusion Model";1;"lecture";20;48;369;417;1047;"";0,115107913669065;0,13084405396925;"3 0 1 Introduction to Diffusion Model ";"29.6";301;4;10;2;29,1;0,445989304812834
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;0;2;"Diffusion Model vs. Race Model";1;"lecture";20;48;329;377;935;"";0,127320954907162;0,118293065578914;"3 0 2 Diffusion Model vs. Race Model ";"30.9";302;4;10;3;30;0,403208556149733
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;1;0;"Perceptual Decision Making in the Human Brain";1;"lecture";20;34;316;350;828;"";0,0971428571428571;0,109821148415438;"3 1 0 Perceptual Decision Making in~";"32.1";310;4;10;4;30,9;0,374331550802139
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;1;1;"Collective Decisions of Honey Bees & Diffusion Mechanism";1;"lecture";20;28;294;322;703;"";0,0869565217391304;0,101035456542203;"3 1 1 Collective Decisions of Honey~";"33.3";311;4;10;5;31,8;0,344385026737968
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;2;0;"Doctor Sebastian Horn вЂ“ ""Some Notes on Drift Diffusion Model"" [Expert Opinion]";1;"lecture";20;36;265;301;682;"";0,119601328903654;0,0944461876372764;"3 2 0 Doctor Sebastian Horn вЂ“ ""Some~";"34.6";320;4;10;6;32,7;0,32192513368984
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;2;1;"Doctor Sebastian Horn вЂ“ ""Some Notes on Drift Diffusion Model. Part II"" [Expert Opinion]";1;"lecture";20;29;241;270;583;"";0,107407407407407;0,0847191716347662;"3 2 1 Doctor Sebastian Horn вЂ“ ""Some~";"35.8";321;4;10;7;33,6;0,288770053475936
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;3;0;"Decision-Making";6;"exam";1;105;236;341;14532;"g";0,30791788856305;0,106997176027612;"3 3 0 Decision-Making (g)";"37";330;4;10;8;34,5;0,364705882352941
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;3;1;"Readings and Resources";3;"supplement";20;0;213;213;312;"";0;0,0668340131785378;"3 3 1 Readings and Resources ";"38.3";331;4;10;9;35,5;0,227807486631016
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;4;0;"Critical review: Diffusion model";12;"phased peer";1;23;153;176;2266;"g";0,130681818181818;0,0552243489174773;"3 4 0 Critical review: Diffusion model (g)";"39.5";340;4;10;10;36,4;0,188235294117647
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;0;0;"Value, Utility, and Brain";1;"lecture";20;36;275;311;830;"";0,115755627009646;0,0975839347348604;"4 0 0 Value, Utility, and Brain ";"40.7";400;5;11;1;37,2;0,332620320855615
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;0;1;"The Nucleus Accumbens - The Core Valuation Region";1;"lecture";20;21;258;279;688;"";0,0752688172043011;0,0875431440225918;"4 0 1 The Nucleus Accumbens - The C~";"42";401;5;11;2;38;0,298395721925134
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;1;0;"The Nucleus Accumbens & Expected Value";1;"lecture";20;19;250;269;630;"";0,0706319702602231;0,0844053969250078;"4 1 0 The Nucleus Accumbens & Expec~";"43.2";410;5;11;3;38,8;0,287700534759358
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;1;1;"The Nucleus Accumbens: Shopping, Marketing, and Learning";1;"lecture";20;20;242;262;612;"";0,0763358778625954;0,0822089739566991;"4 1 1 The Nucleus Accumbens: Shoppi~";"44.4";411;5;11;4;39,7;0,280213903743316
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;2;0;"The Orbitofrontal Cortex & Decision Values";1;"lecture";20;16;235;251;595;"";0,0637450199203187;0,0787574521493568;"4 2 0 The Orbitofrontal Cortex & De~";"45.7";420;5;11;5;40,5;0,268449197860963
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;2;1;"The Diffusion Model & Valuation Process";1;"lecture";20;18;230;248;554;"";0,0725806451612903;0,0778161280200816;"4 2 1 The Diffusion Model & Valuati~";"46.9";421;5;11;6;41,3;0,26524064171123
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;3;0;"Doctor Hilke Plassmann - ""The role of Ventromedial and Dorsolateral prefrontal cortices in decision-making"" [Expert Opinion]";1;"lecture";20;21;191;212;464;"";0,0990566037735849;0,0665202384687794;"4 3 0 Doctor Hilke Plassmann - ""The~";"48.1";430;5;11;7;42,1;0,226737967914439
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;3;1;"Doctor Hilke Plassmann - ""Neuromarketing"" [Expert Opinion]";1;"lecture";20;17;185;202;430;"";0,0841584158415842;0,0633824913711955;"4 3 1 Doctor Hilke Plassmann - ""Neu~";"49.4";431;5;11;8;43;0,216042780748663
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;3;2;"Doctor Hilke Plassmann - ""Ethical problems in Neuromarketing"" [Expert Opinion]";1;"lecture";20;9;190;199;417;"";0,0452261306532663;0,0624411672419203;"4 3 2 Doctor Hilke Plassmann - ""Eth~";"50.6";432;5;11;9;43,8;0,21283422459893
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;4;0;"The Nucleus Accumbens";6;"exam";1;82;191;273;17063;"g";0,3003663003663;0,0856604957640414;"4 4 0 The Nucleus Accumbens (g)";"51.9";440;5;11;10;44,6;0,291978609625668
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;4;1;"Readings and Resources";3;"supplement";20;0;163;163;248;"";0;0,0511452776906181;"4 4 1 Readings and Resources ";"53.1";441;5;11;11;45,5;0,174331550802139
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";5;0;0;"Innate Reactions to Emotional Stimuli";1;"lecture";20;26;224;250;634;"";0,104;0,0784436774395984;"5 0 0 Innate Reactions to Emotional~";"54.3";500;6;8;1;46,6;0,267379679144385
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";5;0;1;"Emotions as Heuristics";1;"lecture";20;15;221;236;547;"";0,0635593220338983;0,0740508315029809;"5 0 1 Emotions as Heuristics ";"55.6";501;6;8;2;47,7;0,252406417112299
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";5;1;0;"Amygdala вЂ“ an Emotional Computer";1;"lecture";20;16;211;227;517;"";0,0704845814977974;0,0712268591151553;"5 1 0 Amygdala вЂ“ an Emotional Computer ";"56.8";510;6;8;3;48,9;0,242780748663102
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";5;1;1;"Emotions, Consciousness, and Optimal Decisions";1;"lecture";20;23;206;229;552;"";0,100436681222707;0,0718544085346721;"5 1 1 Emotions, Consciousness, and ~";"58";511;6;8;4;50;0,244919786096257
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";5;2;0;"Emotional Stimuli";6;"exam";1;54;178;232;10543;"g";0,232758620689655;0,0727957326639473;"5 2 0 Emotional Stimuli (g)";"59.3";520;6;8;5;51,1;0,248128342245989
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";5;2;1;"Readings and Resources";3;"supplement";20;0;163;163;209;"";0;0,0511452776906181;"5 2 1 Readings and Resources ";"60.5";521;6;8;6;52,3;0,174331550802139
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";5;3;0;"Paper for the homework test: The dark side of emotion in decision-making";3;"supplement";20;0;156;156;229;"";0;0,0489488547223094;"5 3 0 Paper for the homework test: ~";"61.7";530;6;8;7;53,4;0,166844919786096
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";5;3;1;"Homework test: The dark side of emotion in decision-making";6;"exam";1;61;151;212;8409;"g";0,287735849056604;0,0665202384687794;"5 3 1 Homework test: The dark side (g)~";"63";531;6;8;8;54,5;0,226737967914439
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";6;0;0;"Valuation System at a Glance";1;"lecture";20;16;212;228;600;"";0,0701754385964912;0,0715406338249137;"6 0 0 Valuation System at a Glance ";"64.2";600;7;7;1;55,8;0,243850267379679
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";6;0;1;"Dual Process Theory & Neuroeconomics";1;"lecture";20;18;201;219;554;"";0,0821917808219178;0,0687166614370882;"6 0 1 Dual Process Theory & Neuroec~";"65.4";601;7;7;2;57,1;0,234224598930481
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";6;1;0;"Modulation of the Value Signal by the DLPFC";1;"lecture";20;13;195;208;510;"";0,0625;0,0652651396297458;"6 1 0 Modulation of the Value Signa~";"66.7";610;7;7;3;58,4;0,222459893048128
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";6;1;1;"Self-regulation & DLPFC";1;"lecture";20;15;184;199;476;"";0,0753768844221105;0,0624411672419203;"6 1 1 Self-regulation & DLPFC ";"67.9";611;7;7;4;59,7;0,21283422459893
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";6;2;0;"Samuel McClure вЂ“ ""Dual or Single?"" [Expert Opinion]";1;"lecture";20;18;160;178;387;"";0,101123595505618;0,055851898336994;"6 2 0 Samuel McClure вЂ“ ""Dual or Sin~";"69.1";620;7;7;5;61;0,190374331550802
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";6;3;0;"Valuation System";6;"exam";1;41;171;212;10092;"g";0,193396226415094;0,0665202384687794;"6 3 0 Valuation System (g)";"70.4";630;7;7;6;62,3;0,226737967914439
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";6;3;1;"Readings and Resources";3;"supplement";20;0;144;144;181;"";0;0,0451835582052087;"6 3 1 Readings and Resources ";"71.6";631;7;7;7;63,6;0,154010695187166
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";7;0;0;"Risk as Uncertainty of the Outcome";1;"lecture";20;20;183;203;520;"";0,0985221674876847;0,0636962660809539;"7 0 0 Risk as Uncertainty of the Outcome ";"72.8";700;8;9;1;64,6;0,217112299465241
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";7;0;1;"Anticipatory Affect Model";1;"lecture";20;11;180;191;463;"";0,0575916230366492;0,0599309695638532;"7 0 1 Anticipatory Affect Model ";"74.1";701;8;9;2;65,7;0,20427807486631
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";7;1;0;"Neuroeconomics of Risk Aversion";1;"lecture";20;17;180;197;472;"";0,0862944162436548;0,0618136178224035;"7 1 0 Neuroeconomics of Risk Aversion ";"75.3";710;8;9;3;66,7;0,210695187165775
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";7;1;1;"""Decision Weights"", Framing Effect, and Prospect Theory";1;"lecture";20;11;175;186;465;"";0,0591397849462366;0,0583620960150612;"7 1 1 ""Decision Weights"", Framing E~";"76.5";711;8;9;4;67,7;0,198930481283422
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";7;2;0;"Brian Knutson вЂ“ ""The Nucleus Accumbens: Rewards and Risks..."" [Expert Opinion]";1;"lecture";20;20;150;170;376;"";0,117647058823529;0,0533417006589269;"7 2 0 Brian Knutson вЂ“ ""The Nucleus ~";"77.8";720;8;9;5;68,7;0,181818181818182
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";7;3;0;"Risk";6;"exam";1;50;153;203;9981;"g";0,246305418719212;0,0636962660809539;"7 3 0 Risk (g)";"79";730;8;9;6;69,7;0,217112299465241
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";7;3;1;"Readings and Resources";3;"supplement";20;0;140;140;165;"";0;0,0439284593661751;"7 3 1 Readings and Resources ";"80.2";731;8;9;7;70,7;0,149732620320856
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";7;4;0;"Video - Matthew Liao investigates the ethics of neuroscience";3;"supplement";20;0;140;140;197;"";0;0,0439284593661751;"7 4 0 Video - Matthew Liao investig~";"81.5";740;8;9;8;71,7;0,149732620320856
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";7;4;1;"Ethical limitations in Neuroeconomics";12;"phased peer";1;17;128;145;1891;"g";0,117241379310345;0,0454973329149671;"7 4 1 Ethical limitations in Neuroe(g)~";"82.7";741;8;9;9;72,7;0,155080213903743
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";8;0;0;"Game Theory as a Tool to Study Decisions in Groups";1;"lecture";20;29;166;195;452;"";0,148717948717949;0,0611860684028867;"8 0 0 Game Theory as a Tool to Stud~";"84";800;9;6;1;74,2;0,20855614973262
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";8;0;1;"The Prisoner's Dilemma as a Model of Cooperation";1;"lecture";20;13;163;176;407;"";0,0738636363636364;0,0552243489174773;"8 0 1 The Prisoner's Dilemma as a M~";"85.2";801;9;6;2;75,8;0,188235294117647
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";8;1;0;"A Neural Basis for Social Cooperation";1;"lecture";20;12;160;172;379;"";0,0697674418604651;0,0539692500784437;"8 1 0 A Neural Basis for Social Coo~";"86.4";810;9;6;3;77,3;0,183957219251337
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";8;1;1;"Mirror Neurons: Understanding Goals via a Simulation";1;"lecture";20;10;157;167;377;"";0,0598802395209581;0,0524003765296517;"8 1 1 Mirror Neurons: Understanding~";"87.7";811;9;6;4;78,8;0,178609625668449
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";8;2;0;"Neuroeconomics, Game Theory and decision-making in groups";6;"exam";1;39;149;188;10306;"g";0,207446808510638;0,058989645434578;"8 2 0 Neuroeconomics, Game Theory a(g)~";"88.9";820;9;6;5;80,3;0,201069518716578
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";8;2;1;"Readings and Resources";3;"supplement";20;0;131;131;152;"";0;0,0411044869783495;"8 2 1 Readings and Resources ";"90.1";821;9;6;6;81,8;0,140106951871658
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";9;0;0;"Ontogenetic and Evolutionary Origin of Cooperation";1;"lecture";20;9;160;169;384;"";0,0532544378698225;0,0530279259491685;"9 0 0 Ontogenetic and Evolutionary ~";"91.4";900;10;7;1;83,1;0,180748663101604
